file,finger_length_ring,finger_line_5_ring,finger_line_6_ring,finger_line_7_ring,finger_line_8_ring,finger_line_9_ring,finger_line_10_ring,finger_line_11_ring,finger_line_12_ring,finger_line_13_ring,finger_line_14_ring,finger_line_15_ring,finger_line_16_ring,finger_line_17_ring,finger_line_18_ring,finger_line_19_ring,finger_line_20_ring,finger_line_21_ring,finger_line_22_ring,finger_line_23_ring,finger_line_24_ring,finger_line_25_ring,finger_line_26_ring,finger_line_27_ring,finger_line_28_ring,finger_line_29_ring,finger_line_30_ring,finger_line_31_ring,finger_line_32_ring,finger_line_33_ring,finger_line_34_ring,finger_line_35_ring,finger_line_36_ring,finger_line_37_ring,finger_line_38_ring,finger_line_39_ring,finger_line_40_ring,finger_line_41_ring,finger_line_42_ring,finger_line_43_ring,finger_line_44_ring,ring_GT
3292,61.8996625467398,12.8458904109589,12.8458904109589,12.9520547945205,13.1643835616438,12.9520547945205,13.1643835616438,13.0582191780822,13.2705479452055,13.0582191780822,13.1643835616438,13.2705479452055,13.4828767123288,13.4828767123288,13.6952054794521,13.8013698630137,14.1198630136986,14.1198630136986,14.4383561643836,14.5445205479452,14.7568493150685,15.0753424657534,15.2876712328767,15.5,15.7123287671233,15.8184931506849,16.1369863013699,16.2431506849315,16.4554794520548,16.7739726027397,16.986301369863,17.1986301369863,17.3047945205479,17.6232876712329,17.8356164383562,17.9417808219178,18.1541095890411,18.2602739726027,18.472602739726,18.6849315068493,18.791095890411,17.57
3296,60.7984483216249,14.3834745762712,14.4819915254237,14.6790254237288,14.6790254237288,14.8760593220339,14.7775423728814,14.6790254237288,14.8760593220339,14.8760593220339,14.7775423728814,14.8760593220339,14.8760593220339,14.9745762711864,15.073093220339,15.073093220339,15.073093220339,15.1716101694915,15.1716101694915,15.1716101694915,15.3686440677966,15.3686440677966,15.4671610169492,15.5656779661017,15.6641949152542,15.8612288135593,16.1567796610169,16.1567796610169,16.353813559322,16.6493644067797,16.7478813559322,17.0434322033898,17.2404661016949,17.2404661016949,17.3389830508475,17.1419491525424,17.0434322033898,17.1419491525424,17.1419491525424,17.1419491525424,17.1419491525424,16
3297,56.8519151217051,12.0012667776854,12.1996348235975,12.1004508006414,12.1996348235975,12.1996348235975,12.2988188465536,12.2988188465536,12.2988188465536,12.1004508006414,12.0012667776854,12.0012667776854,11.8028987317732,11.7037147088171,11.6045306858611,11.7037147088171,11.7037147088171,11.9020827547293,12.1996348235975,12.1996348235975,12.4971868924658,12.6955549383779,12.8939229842901,13.1914750531583,13.4890271220265,13.8857632138508,14.2824993056752,14.7784194204555,14.8776034434116,15.0759714893238,15.1751555122798,15.1751555122798,15.1751555122798,15.0759714893238,14.9767874663677,14.8776034434116,14.7784194204555,14.5800513745434,14.3816833286312,14.2824993056752,14.2824993056752,14.43
3300,66.0315684650241,14.8379396984925,14.7211055276382,14.9547738693467,14.9547738693467,14.9547738693467,14.9547738693467,14.9547738693467,14.8379396984925,14.9547738693467,14.8379396984925,15.071608040201,15.1884422110553,15.1884422110553,15.4221105527638,15.5389447236181,15.7726130653266,15.8894472361809,16.1231155778894,16.2399497487437,16.356783919598,16.4736180904523,16.5904522613065,16.7072864321608,16.7072864321608,16.7072864321608,16.8241206030151,17.0577889447236,16.8241206030151,17.0577889447236,17.1746231155779,17.2914572864322,17.2914572864322,17.5251256281407,17.5251256281407,17.641959798995,17.7587939698492,17.9924623115578,17.9924623115578,18.1092964824121,18.4597989949749,15.79
3303,64.3704018648826,12.2153205169697,12.4241294146957,12.5285338635587,12.4241294146957,12.7373427612846,12.6329383124216,12.7373427612846,12.9461516590106,12.9461516590106,12.8417472101476,12.9461516590106,13.0505561078736,12.9461516590106,13.0505561078736,13.1549605567366,13.0505561078736,13.3637694544626,13.3637694544626,13.4681739033256,13.6769828010515,13.9901961476405,14.0946005965035,14.1990050453665,14.5122183919554,14.8254317385444,15.0342406362704,15.2430495339964,15.3474539828594,15.4518584317223,15.7650717783113,15.7650717783113,15.8694762271743,15.8694762271743,15.9738806760373,16.0782851249003,16.0782851249003,15.9738806760373,16.1826895737633,16.0782851249003,15.9738806760373,15.21
2634,68.0325416479605,14.3520577455404,14.5873373807132,14.7049771982996,14.7049771982996,14.7049771982996,14.5873373807132,14.5873373807132,14.822617015886,14.7049771982996,14.7049771982996,14.7049771982996,14.5873373807132,14.4696975631268,14.5873373807132,14.5873373807132,14.5873373807132,14.7049771982996,14.5873373807132,14.7049771982996,14.822617015886,15.0578966510588,15.2931762862316,15.410816103818,15.2931762862316,15.5284559214044,15.6460957389908,15.7637355565772,15.99901519175,16.1166550093364,16.1166550093364,16.2342948269228,16.2342948269228,16.4695744620956,16.587214279682,16.8224939148548,16.7048540972684,16.8224939148548,16.9401337324412,16.9401337324412,16.9401337324412,17.39
2635,71.8838430412468,14.7315923669475,14.7315923669475,14.6034915637566,14.6034915637566,14.7315923669475,14.8596931701383,14.8596931701383,14.8596931701383,14.8596931701383,14.7315923669475,14.7315923669475,14.347289957375,14.347289957375,14.7315923669475,14.8596931701383,14.8596931701383,14.7315923669475,14.8596931701383,14.9877939733292,14.9877939733292,15.11589477652,15.2439955797109,15.5001971860926,15.6282979892834,15.7563987924743,15.8844995956651,16.012600398856,16.1407012020468,16.1407012020468,16.3969028084285,16.3969028084285,16.5250036116194,16.5250036116194,16.5250036116194,16.7812052180011,16.7812052180011,16.9093060211919,17.0374068243828,17.0374068243828,17.0374068243828,17.39
2636,68.347792990249,14.4783916547368,14.4783916547368,14.7323985258725,14.6053950903046,14.6053950903046,14.6053950903046,14.4783916547368,14.4783916547368,14.4783916547368,14.4783916547368,14.224384783601,14.224384783601,14.224384783601,14.3513882191689,14.4783916547368,14.4783916547368,14.6053950903046,14.7323985258725,14.9864053970082,14.9864053970082,15.1134088325761,15.1134088325761,15.3674157037118,15.3674157037118,15.6214225748476,16.0024328815512,16.0024328815512,16.129436317119,16.2564397526869,16.3834431882548,16.3834431882548,16.3834431882548,16.3834431882548,16.5104466238226,16.7644534949584,16.7644534949584,16.7644534949584,16.7644534949584,16.7644534949584,16.8914569305262,17.39
2637,65.3281674604911,13.9721764510008,14.1346436190357,14.1346436190357,14.1346436190357,14.2971107870706,14.4595779551055,14.4595779551055,14.4595779551055,14.6220451231404,14.4595779551055,14.6220451231404,14.4595779551055,14.4595779551055,14.4595779551055,14.4595779551055,14.4595779551055,14.6220451231404,14.7845122911753,14.7845122911753,15.1094466272451,15.1094466272451,15.4343809633149,15.4343809633149,15.4343809633149,15.7593152993847,15.7593152993847,15.9217824674196,16.0842496354545,16.2467168034894,16.4091839715243,16.734118307594,16.8965854756289,16.8965854756289,17.0590526436638,17.0590526436638,17.2215198116987,17.2215198116987,17.0590526436638,17.0590526436638,16.8965854756289,17.39
2638,72.554151226497,15.0092277067705,14.7149291242848,15.0092277067705,15.0092277067705,15.0092277067705,15.1563769980133,15.1563769980133,15.1563769980133,15.1563769980133,15.1563769980133,15.1563769980133,15.1563769980133,14.8620784155276,15.1563769980133,15.0092277067705,15.0092277067705,15.0092277067705,15.3035262892562,15.3035262892562,15.450675580499,15.5978248717419,15.7449741629847,15.7449741629847,16.0392727454704,16.1864220367132,16.4807206191989,16.6278699104418,16.7750192016846,16.9221684929275,16.9221684929275,17.0693177841703,17.2164670754132,17.2164670754132,17.363616366656,17.363616366656,17.5107656578989,17.5107656578989,17.363616366656,17.5107656578989,17.363616366656,17.39
